"HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B-V","miembro"
14203,3.05265826666667,20.336215,3.21,13.86,-4.45,7.96,1.595,0
14211,3.0538054,22.369838,23.43,26.62,40.59,10.78,1.14,0
14214,3.05458826666667,10.924298,2.97,-4.78,-14.07,8.26,1.408,0
14228,3.05782373333333,6.226691,13.18,-11.76,-54.7,6.72,0.342,0
14230,3.05795986666667,23.06148,29.62,111.75,3.47,7.09,0.624,0
14236,3.05925606666667,14.470711,6.67,-21.46,-34.14,7.86,1.05,0
14258,3.0641152,6.133298,31.75,231.78,48.42,6.92,0.552,0
14261,3.06521466666667,5.242236,13.2,8.61,-190.59,11.54,1.3,0
14266,3.06601206666667,7.281699,6.98,9.39,-0.13,8.08,0.348,0
14274,3.06696166666667,9.665319,4.26,-9.33,-11.81,9.32,0.408,0
14292,3.07088953333333,21.472892,2.73,5.17,-6.17,7.29,1.079,0
14298,3.07228506666667,11.136141,8.89,0.64,-50.57,8.79,0.552,0
14310,3.07653546666667,21.723979,2.21,-13.24,-7.32,8.45,1.427,0
14318,3.07795686666667,15.856023,5.17,-11.92,-91.94,6.37,1.4,0
14319,3.07804693333333,9.028367,5.1,21.06,-13.91,8.45,1.115,0
14329,3.0804554,13.797461,5.48,26.86,-12.84,7.36,0.943,0
14334,3.0806196,8.113607,7.77,7.13,11.85,9.99,0.6,0
14343,3.08274206666667,12.66,3.8,34.08,-22.26,8.74,1.194,0
14352,3.0847628,3.997183,7.61,-17.06,-19.71,9.92,0.568,0
14360,3.08818753333333,10.308453,4.84,-5.57,-3.47,9.68,0.912,0
14362,3.08845533333333,3.766726,3.58,2.89,0.64,9.89,0.4,0
14378,3.0917444,20.902374,7.78,27.45,-27.64,7.73,0.3,0
14384,3.0925944,6.19549,7.56,18.18,-25.27,9.74,0.553,0
14390,3.09402233333333,6.117436,3,31.34,-4.38,7.68,1.339,0
14391,3.09433873333333,18.692046,2.77,6.36,-2.96,9.97,1.027,0
14394,3.094726,23.094043,3.56,-11.21,-6.17,7.67,1.641,0
14403,3.09649226666667,18.179791,5.33,-4.76,-0.74,8.51,0.34,0
14404,3.09658873333333,14.267614,3.64,-0.84,-28.96,8.94,0.524,0
14421,3.1030802,4.823632,4.81,-4.54,-24.38,8.44,1.058,0
14433,3.10475646666667,11.665286,3.84,17.75,-9.51,7.12,1.82,0
14436,3.1058764,10.805657,3.52,-15.26,-19.77,9.96,1.027,0
14437,3.1062002,5.27852,3.14,26.51,-8.51,9.67,0.42,0
14438,3.10626226666667,3.810128,1.91,14.83,4.61,7.77,0.163,0
14439,3.10657933333333,13.18725,10.21,-3.31,-62.68,5.64,1.087,0
14451,3.10908373333333,24.221403,2.5,-5.47,-0.61,8.68,1.058,0
14454,3.10925726666667,5.625016,3.88,-2.89,-6.84,7.94,0.971,0
14477,3.113944,5.65004,7.82,56.57,-54.85,8.21,0.417,0
14481,3.1145756,20.861978,3.09,27.83,-32,8.49,0.629,0
14484,3.11633,19.628268,3.76,-11.36,7.01,10.11,0.959,0
14493,3.1195428,19.364032,3.78,19.8,-40.7,8.31,1.036,0
14496,3.12076686666667,5.019856,1.27,-5.46,5.56,8.4,1.457,0
14497,3.12134293333333,15.203088,4.63,11.18,-23.34,8.03,1.54,0
14500,3.1215282,16.077517,8.23,0.72,9.3,9.64,0.833,0
14504,3.12206666666667,8.395608,5.01,-11.19,-13.11,9.04,0.61,0
14514,3.12379793333333,17.879995,4.32,-23.54,9.3,6.13,-0.123,0
14531,3.1274164,22.572332,4.9,25.22,-26.35,8.98,1.064,0
14536,3.12790106666667,7.245869,6.97,4.8,-4.95,9.01,0.36,0
14550,3.13075706666667,16.073227,4.07,2.41,-22.95,9.4,1.18,0
14554,3.13117393333333,23.687926,10.13,35.43,-50.02,7.97,0.32,0
14556,3.13230213333333,7.256172,6.61,7.49,-4.03,8.08,0.225,0
14567,3.1349336,16.925461,6.97,-27.89,-3.36,8.32,0.4,0
14569,3.13511313333333,17.027377,6.16,-23.47,-1.22,7.67,0.401,0
14572,3.1356966,22.659595,5.92,10.28,-16.52,9.53,0.379,0
14579,3.13688913333333,13.170113,4.24,33.84,14.03,8.1,1.245,0
14586,3.13919693333333,18.795053,5.72,37.88,-14.33,6.24,1.56,0
14590,3.14024066666667,6.723459,5.92,18.93,21.6,7.65,0.972,0
14591,3.1403214,10.795874,8.11,-61.91,-31.87,7.3,0.437,0
14600,3.141081,7.643021,11.13,-16.38,-19.14,7.01,0.279,0
14601,3.1419124,10.445897,0.89,66.42,-88.06,9.81,0.473,0
14603,3.14248713333333,8.868746,1.96,-32.1,3.38,9.87,0.678,0
14606,3.14398946666667,12.378233,8.53,-26.47,-24.46,9.11,0.411,0
14607,3.14410873333333,8.47107,6.97,-3.4,73.32,6.28,1.026,0
14614,3.14564046666667,15.334827,24.44,68.85,-194.89,7.85,0.642,0
14630,3.150052,9.71167,0.2,8.52,-10.87,8.39,1.568,0
14631,3.15026146666667,12.85967,7.46,-4.64,7.6,7.23,0.92,0
14636,3.15195573333333,12.119576,3.67,-8.13,-20.04,10.54,0.866,0
14640,3.1529248,7.460419,13.02,-4.93,0.98,7.62,0.441,0
14649,3.15559226666667,20.761123,6.44,51.46,-11.77,6.41,1.241,0
14672,3.1596178,19.380733,4.66,27.38,-7.52,6.86,0.113,0
14675,3.15996673333333,19.031721,1.27,0.3,1.61,9.01,0.903,0
14676,3.16009586666667,5.20288,13.83,71.03,-28.47,7.99,0.58,0
14679,3.16055666666667,16.904696,4.88,11.15,-15,8.82,0.364,0
14682,3.16126573333333,17.260874,3.44,-13.23,-39.69,7.74,1.546,0
14683,3.16167333333333,17.660911,3.11,-2.75,-11.24,8.5,0.279,0
14689,3.16268226666667,20.000992,4.64,20.16,-49.78,7.49,1.222,0
14694,3.16408966666667,13.767767,4.69,11.2,-8.93,8.35,0.161,0
14702,3.1656644,6.704822,9.95,109.46,-57.2,8.16,0.761,0
14705,3.16657526666667,15.373237,21.3,-96.99,-281.02,9.06,0.825,0
14711,3.16781306666667,12.996819,20.47,-120.41,-164.81,11.13,1.01,0
14715,3.1684848,21.747143,11.4,29.57,-8.16,7.53,0.293,0
14716,3.16848613333333,9.816286,9.56,-12.37,-28.61,10.95,0.642,0
14721,3.1694182,18.345566,17.55,163.7,-58.68,8.69,0.682,0
14727,3.17070666666667,21.271941,2.77,26.75,-4.73,7.59,1.029,0
14729,3.1708774,12.050509,36.96,245.15,-153.65,9.38,1.15,0
14731,3.17096353333333,5.908771,57.53,-128.26,-551.33,11.82,1.5,0
14735,3.1715992,16.813495,3.01,-2.02,-12.77,7.7,0.039,0
14746,3.1737664,4.258175,8.75,13.34,-5.12,9.2,0.398,0
14751,3.17437293333333,15.990505,10.57,-3.48,48.03,7.9,0.343,0
14764,3.17744266666667,11.872627,6.24,30.74,-26.98,5.97,-0.061,0
14767,3.17774786666667,21.892646,6.65,-29.16,-78.05,7.22,1.065,0
14778,3.18032086666667,10.005896,1.06,30.08,10.35,6.95,1.726,0
14792,3.1836384,9.989652,5.13,165.72,-22.58,9.65,0.604,0
14802,3.18599433333333,6.867073,2.73,8.03,7.62,7.99,1.089,0
14803,3.18620093333333,9.196367,19.13,238.1,-71.82,11.31,1.25,0
14804,3.18617253333333,7.17402,6.06,24.32,-14.11,7.84,0.451,0
14809,3.1871784,22.415865,20.24,56.04,-125.11,8.51,0.71,0
14810,3.1872862,21.097359,18.91,-3.01,-53.57,8.52,0.777,0
